GA Attribution Campaign,GA Attribution Channel,GA Attribution Medium,Orders Order ID,Orders User ID,Orders Placed Date,Order Products Product ID,Order Skus ID,Contacts Contact ID,Users Is User Account Created (Yes / No),Orders Net Revenue,Contacts Email Domain,Order Products Product Name,Order Products Merchandising Category,Order Products First Tier Derpartment Name,Order Products Primary Department Name,Order Products Show on Product Page Tag Names,Order Products Show on Search Page Tag Names,Order Products Is Product Active (Yes / No),Order Skus Packaging Type,GA Attribution Source,Orders Shipping Fee Amount,Orders Unique Merchandising Category Name,Orders Billed to City,Orders Billed to State Prov,Orders Billed to Country Code,Order Skus List Price,Order Skus After Discount Price,Order Skus Before Discount Price,Contacts First Subscribed Date,Contacts First Subscribed Time,Orders Placed Time,Orders Is Placed Day Holiday (Yes / No),Order Skus Discount,Orders Canceled Date,Order Skus Weight,KW Skus Data Net Weight,Order Skus Packaging Type Code,Gifting Is Gift (Yes / No),Orders Discount Fee Amount,KW Skus Data Meltable (Yes / No),Orders Total New Order Revenue,Order Skus Count of Pieces,Order Skus Gross Profit,Accrued Gross Margin,Accrued Product Cost,Shipments Total Shipping Revenue,Order Skus Total Raw Material Cost,Order Skus Total Packaging Cost,Shipments Total Heat Resistant Packaging Cost,Order Skus Total Filling Labor Cost,Accrued Direct Labor Fulfillment Cost,Accrued Direct Labor Support Cost,Accrued Direct Labor Others Cost,Accrued Indirect Labor Cost,Accrued Freight Out Cost,Accrued Credit Card Processing Fee,Accrued Others Cost,Shipments Total Actual Carrier Cost,Orders Total Shipping Carrier Fees
,,,12866305,1112166,2022-04-13,3020,3020-01,1143345,Yes,164.87,yahoo.com,Sliced Natural Almonds,Nuts,Nuts,Almonds,"chopped and sliced,kosher,kosher pareve,gluten-free,certified gluten-free,salt-free","chopped and sliced,kosher,baking,natural,kosher pareve,gluten-free,nuts and seeds,out of shell,unsalted,certified gluten-free,nuts,salt-free,sliced",Yes,Medium 1 Pound Bag,,0,"Dried Fruit,Nuts",New York,NY,US,9.99,9.99,9.99,2017-01-03,2017-01-03 11:39:17,2022-04-13 06:54:23,No,0,,1,1,M,No,0,No,0,1,9.99,164.480517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,5.37
(not set),,(none),12866495,923023,2022-04-13,3022,3022-05,700864,Yes,76.12,aol.com,"English Walnut Halves (Raw, No Shell)",Nuts,Nuts,Walnuts,"raw,gluten-free,salt-free,certified gluten-free,kosher pareve,kosher","natural,out of shell,nuts and seeds,raw,nuts,gluten-free,salt-free,certified gluten-free,kosher pareve,kosher,paleo,baking",Yes,Brown 5 Pound Bag,(direct),0,"Dried Fruit,Nuts",Marco Island,FL,US,59.95,58.15,58.15,,,2022-04-13 08:38:02,No,0,,5,5,B,No,0,No,0,1,58.15,74.682068,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,6.37
,,,12867468,,2022-04-13,5019,5019-01,1858912,No,60.95,yahoo.com,Honey Roasted Peanuts,Nuts,Nuts,Peanuts,"honey roasted,honey (flavor),kosher,candied,kosher pareve,roasted,gluten-free","oil roasted,honey roasted,nuts,chocolates & sweets,honey (flavor),kosher,candied,kosher pareve,nuts and seeds,roasted,gluten-free",Yes,Medium 1 Pound Bag,,0,Nuts,,,,5.99,5.99,5.99,2020-12-18,2020-12-18 17:43:06,2022-04-13 11:36:28,No,0,,1,1,M,No,0,No,0,1,5.99,60.560517000000004,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,7.32
(not set),,(none),12867581,,2022-04-13,1265,1265-02,582678,No,74.92,gmail.com,Half Popped Popcorn,Snacks,Snacks,Popcorn,"certified gluten-free,salted,salty,gluten-free","vegan,certified gluten-free,nuts,salted,salty,snacks,gluten-free,cocktail hour snacks",Yes,Large 1 Pound Bag,(direct),0,"Seeds,Snacks,Nuts,Chocolates & Sweets",,,,7.99,7.99,7.99,2015-06-11,2015-06-11 15:44:51,2022-04-13 11:48:44,No,0,,0.75,0.75,L,No,0,No,0,1,7.99,74.211034,0,0,0,0.09,0,0.618966,0,0,0,0,0,0,0,0,9.82
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867496,723518,2022-04-13,8257,8257-01,432454,Yes,84.94,yahoo.com,Organic Dried Sour Cherries (Unsweetened),Dried Fruit,Dried Fruit,Cherries,"no sugar added,organic","no sugar added,organic,dried fruit,natural,paleo",Yes,Medium 1 Pound Bag,Iterable,0,Dried Fruit,Yorktown,VA,US,18.99,18.99,18.99,2021-12-02,2021-12-02 10:41:42,2022-04-13 11:39:23,No,0,,1,1,M,No,0,No,0,1,18.99,84.241034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,6.33
SEM Branded,google,cpc,12867584,,2022-04-13,5455,5455-01,704197,No,31.95,gmail.com,Gummy Bears (12 Flavors),Chocolates & Sweets,Chocolates & Sweets,Gummy Bears,"gummy candy,rainbow candy,gluten-free,sweet,fruity","gluten-free,sweet,chocolates & sweets,fruity,best sellers,assorted (flavor)",Yes,Small 1 Pound Bag,google,6.99,Chocolates & Sweets,Charleston,WV,US,4.99,4.99,4.99,2015-10-23,2015-10-23 17:12:21,2022-04-13 11:48:54,No,0,,1,1,S,No,0,Yes,0,1,4.99,31.271034,0,6.99,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,9.58
(not set),,(none),12867595,460480,2022-04-13,8334,8334-01,248023,Yes,257.03,gmail.com,Rainbow Sour Rolled Belts,Chocolates & Sweets,Chocolates & Sweets,Sour Power Belts,"gummy candy,fruity,sour candy,sweet,rainbow candy,fruit punch (flavor),carnival & circus,sour & tart","fruity,sweet,fruit punch (flavor),carnival & circus,chocolates & sweets,sour & tart",Yes,Large 1 Pound Bag,(direct),0,"Coffees & Teas,Dried Fruit,Cooking,Nuts,Chocolates & Sweets,Snacks",,,,9.99,9.99,9.99,2020-12-16,2020-12-16 18:38:28,2022-04-13 11:49:24,No,0,,1,1,L,No,0,Yes,0,1,9.99,256.29103399999997,0,0,0,0.12,0,0.618966,0,0,0,0,0,0,0,0,7.83
,,,12866237,423336,2022-04-13,2662,2662-01,230538,Yes,549.48,kent.edu,Napoli Salami,Snacks,Cooking,Cheeses & Cured Meats,"salty,keto,gluten-free","savory,snacks,salty,premium,keto,gluten-free,sports",Yes,Small 1 Pound Bag,,0,"Dried Fruit,Snacks,Nuts,Gifts,Chocolates & Sweets",,,,9.99,9.99,9.99,2020-11-27,2020-11-27 22:29:39,2022-04-13 05:21:50,No,0,,0.4,0.4,S,Yes,0,No,0,1,9.99,548.837034,0,0,0,0.024,0,0.618966,0,0,0,0,0,0,0,0,20.52
Automated-Replenishment_2_Returning_b,,email,12867151,1090209,2022-04-13,5416,5416-01,129851,Yes,141.83,aol.com,Milk and Dark Chocolate Sea Salt Caramel,Chocolates & Sweets,Chocolates & Sweets,Caramel,"dark chocolate,sweet,brown candy,chocolate","dark chocolate,sweet,chocolates & sweets,chocolate",Yes,Small 1 Pound Bag,Iterable,0,"Dried Fruit,Snacks,Nuts,Chocolates & Sweets,Seeds,Cooking",,,,10.99,10.99,10.99,2016-11-25,2016-11-25 10:41:31,2022-04-13 10:55:40,No,0,,1,1,S,No,0,Yes,0,1,10.99,141.460517,0,0,0,0.06,0,0.309483,0,0,0,0,0,0,0,0,7.28
(not set),,(none),12867436,866901,2022-04-13,4002,4002-01,566099,Yes,72.92,gmail.com,Roasted Almonds (Unsalted),Nuts,Nuts,Almonds,"roasted,gluten-free,keto,certified gluten-free,salt-free,kosher pareve,kosher","best sellers,roasted,snacks,gluten-free,keto,certified gluten-free,whole 30,nuts,salt-free,oil roasted,kosher pareve,vegan,nuts and seeds,out of shell,whole nuts,kosher,unsalted",Yes,Medium 1 Pound Bag,(direct),0,"Nuts,Cooking",,,,9.99,9.99,9.99,2015-05-06,2015-05-06 13:32:07,2022-04-13 11:32:52,No,0,,1,1,M,No,0,No,0,2,19.98,72.141034,0,0,0,0.16,0,0.618966,0,0,0,0,0,0,0,0,6.33
,,,12866197,1066776,2022-04-13,2579,2579-01,1018741,Yes,19.32,gmail.com,Organic Sprouted Black Beans,Cooking,Cooking,Black Beans,"sprouted,organic,gluten-free,kosher,beans,kosher pareve","sprouted,organic,gluten-free,kosher,cooking,kosher pareve",Yes,Small 1 Pound Bag,,6.99,Cooking,Rowley,MA,US,5.99,5.69,5.99,2016-09-24,2016-09-24 07:21:21,2022-04-13 05:05:41,No,-0.3,,1,1,S,No,0,No,0,1,5.69,18.641034,0,6.99,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,8.73
,,,12865909,1086229,2022-04-13,3143,3143-01,1037677,Yes,43.06,gmail.com,Chopped Walnuts,Nuts,Nuts,Walnuts,"raw,keto,gluten-free,certified gluten-free,chopped and sliced,kosher pareve,kosher,toppings,salt-free","raw,vegan,keto,nuts and seeds,natural,gluten-free,paleo,out of shell,certified gluten-free,baking,chopped and sliced,nuts,kosher pareve,kosher,toppings,whole 30,unsalted,salt-free",Yes,Medium 1 Pound Bag,,6.99,Nuts,Lexington,MA,US,10.99,10.44,10.99,2016-10-19,2016-10-19 08:42:23,2022-04-13 05:01:13,No,-0.55,,1,1,M,No,0,No,0,1,10.44,42.670517000000004,0,6.99,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,6.33
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12867683,867164,2022-04-13,3113,3113-01,564288,Yes,66.92,sbcglobal.net,Organic Coconut (Shredded),Dried Fruit,Dried Fruit,Coconut,"certified gluten-free,kosher,kosher pareve,toppings,no sugar added,gluten-free,organic","certified gluten-free,kosher,dried fruit,kosher pareve,nuts,vegan,brewing,baking,toppings,no sugar added,gluten-free,paleo,organic",Yes,Large 1 Pound Bag,Iterable,0,"Cooking,Dried Fruit,Chocolates & Sweets,Seeds",Little Rock,AR,US,7.99,7.99,7.99,2015-05-01,2015-05-01 08:53:47,2022-04-13 11:59:19,No,0,,1,1,L,No,0,No,0,2,15.98,65.442068,0,0,0,0.24,0,1.237932,0,0,0,0,0,0,0,0,9.82
